Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia de carrera media,Cadencia de carrera máxima,Ritmo medio,Ritmo óptimo,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,Equilibrio medio de tiempo de contacto con el suelo,Training Stress Score®,Pasos,Repeticiones totales,Series totales,Temperatura mínima,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Carrera,2026-06-09 19:15:54,false,"Vitacura Carrera","1.04","79","00:06:34.4","135","153","2.0","156","164","6:20","5:51","10","2","0.98","11.3","11.4","286","50.8 % izquierda / 49.2 % derecha","0.0","1,010","--","--","20.0","No","00:00:14.3","2","24.0","00:06:20","00:07:09.1","667","677"
Carrera,2026-06-09 18:45:50,false,"Vitacura Carrera","1.97","138","00:11:25","132","148","2.1","159","165","5:48","5:06","--","20","1.07","10.8","11.9","283","50.4 % izquierda / 49.6 % derecha","0.0","1,788","--","--","23.0","No","00:05:25.2","2","26.0","00:11:02","00:13:30","667","691"
Carrera,2026-06-07 09:05:36,false,"Vitacura Carrera","14.11","1,113","01:22:00","159","176","4.5","157","167","5:49","5:04","183","184","1.09","11.0","12.2","274","50.4 % izquierda / 49.6 % derecha","0.0","12,708","--","--","17.0","No","00:02:41.0","16","26.0","01:21:10","01:33:05","626","786"
Carrera,2026-06-02 19:30:47,false,"Vitacura Carrera","5.17","417","00:31:29","152","178","3.4","144","240","6:06","4:00","48","37","1.14","10.9","11.9","270","50.9 % izquierda / 49.1 % derecha","0.0","4,436","--","--","17.0","No","00:00:03.0","15","22.0","00:27:47","00:39:34","655","676"
Carrera,2026-06-02 19:10:40,false,"Vitacura Carrera","1.97","147","00:11:49","136","159","2.2","155","162","5:59","1:34","11","9","1.08","11.0","12.2","282","50.5 % izquierda / 49.5 % derecha","0.0","1,818","--","--","21.0","No","00:05:38.0","2","23.0","00:11:34","00:13:25","666","677"
Carrera,2026-06-02 18:49:51,false,"Carrera","1.63","124","00:10:51","132","151","2.0","153","167","6:39","5:37","1","13","1.12","11.0","12.7","284","49.7 % izquierda / 50.3 % derecha","0.0","1,600","--","--","22.0","No","00:03:58.0","2","27.0","00:10:33","00:11:28","666","680"
Carrera,2026-05-31 08:50:01,false,"Vitacura Carrera","12.14","946","01:08:07","154","170","4.3","158","167","5:37","4:49","82","78","1.12","10.8","12.3","277","50.4 % izquierda / 49.6 % derecha","0.0","10,680","--","--","16.0","No","00:00:45.3","13","25.0","01:08:04","01:08:07","691","745"
Carrera,2026-05-26 19:41:31,false,"Vitacura - ICCUS 1200+4x400","5.74","469","00:37:31","150","179","3.5","134","234","6:32","2:15","52","36","1.13","9.2","9.8","299","50.4 % izquierda / 49.6 % derecha","0.0","4,860","--","--","16.0","No","00:00:00.7","23","23.0","00:31:29","00:46:47","655","702"
Carrera,2026-05-26 19:18:07,false,"Vitacura - ICCUS 1200+4x400","1.05","72","00:06:34.2","124","137","1.9","154","161","6:17","5:45","10","1","1.01","11.3","11.6","288","49.9 % izquierda / 50.1 % derecha","0.0","1,008","--","--","26.0","No","00:00:17.8","2","27.0","00:06:12","00:07:24.3","667","670"
Carrera,2026-05-24 09:13:30,false,"Machalí Carrera","14.05","1,113","01:21:28","157","181","4.7","155","174","5:48","3:41","135","148","1.11","10.8","12.1","282","50.0 % izquierda / 50.0 % derecha","0.0","12,490","--","--","14.0","No","00:01:13.7","19","25.0","01:21:17","01:24:32","583","651"
